text,volume,competition_level,competition_index,low_bid,high_bid,trend
dbms,8100,LOW,5,3.34,14.11,0.2
google sql database,110,LOW,19,7.1,24.06,-0.22
database management software,1600,MEDIUM,44,3.36,22.02,1.36
online database software,390,LOW,26,6.5,32.36,9.94
best database software,1000,MEDIUM,42,3.59,18.1,11.24
online sql database,390,MEDIUM,45,4.159999,21.14,-1.92
simple database software,390,MEDIUM,65,4.19,24.8,4.18
best database software for small business,90,MEDIUM,54,5.43,33.75,14.53
easy database software,390,MEDIUM,65,4.19,24.8,4.18
database management system software,390,LOW,22,4.55,15.93,3.4
dbms software,390,LOW,22,4.55,15.93,3.4
mysql use database,480,LOW,6,2.89,8.29,-0.23
small business database software,720,MEDIUM,43,7.92,28.16,110.93
database software examples,590,LOW,14,2.84,9.61,0.01
database management system examples,1600,LOW,7,2.46,7.55,4.82
business database software,140,LOW,26,6.8,27.29,20.27
database application software,170,LOW,17,4.88,15.05,5.28
database creation software,70,MEDIUM,50,4.96,22.52,17.73
database software programs,260,LOW,18,2.55,15.02,-3.69
open source database software,260,LOW,27,3.65,10.44,6.35
online database management system,50,LOW,29,8.44,36.17,19.76
database design software,170,LOW,22,3.13,12.15,11.4
data base management system,9900,MEDIUM,46,8.42,23.05,32.6
mysql database server,260,LOW,29,4.99,28.65,-2.62
relational database software,320,LOW,21,3.87,17.3,3.72
my sql database,480,LOW,22,4.99,27.54,1.14
sql database management,390,LOW,13,3.668598,15.04,3.13
easy to use database software,50,HIGH,71,4.84,27.72,34.35
oracle dbms,260,LOW,9,5.575,15.36,2.08
sql use database,480,LOW,9,3.66,22.76,-0.26
custom database software,2400,MEDIUM,37,8.5,45.711256,19.34
no sql database,210,LOW,2,3.6,27.45,-9.45
best online database software,40,LOW,28,6.74,62.78,6.21
gcp sql database,30,LOW,6,0.0,0.0,1.52
web based database management system,20,MEDIUM,56,6.5,35.47,10.61
sql database server,1600,LOW,15,6.12,27.4,2.88
ms sql database,1600,LOW,15,6.12,27.4,2.88
no sql databases,210,LOW,2,3.6,27.45,-9.45
google database software,90,MEDIUM,34,4.15,21.93,2.55
data base management,210,LOW,4,5.99,13.33627,-4.59
database security in dbms,1300,LOW,19,4.0,19.28,14.52
best sql database,210,LOW,16,3.78,17.39,3.36
database building software,90,LOW,29,6.05,31.39,6.46
basic database software,390,MEDIUM,65,4.19,24.8,4.18
sql database management system,50,LOW,24,6.03,13.81,15.56
types of database management system,590,LOW,3,2.23,6.09,0.32
open source sql database,210,LOW,14,3.47,10.81,1.57
aws dbms,3600,LOW,11,0.97,6.48,7.85
desktop database software,40,HIGH,96,5.76,17.9,37.25
data security in dbms,10,LOW,0,0.0,0.0,0.0
distributed database management system,70,LOW,8,3.31,12.01,12.45
define database management system,1300,LOW,1,2.1,8.37,1.09
oracle database software,110,LOW,9,4.2,17.19,3.06
ibm database products,50,LOW,29,3.49,15.25,9.57
online dbms,10,MEDIUM,61,5.16,12.07,4.55
oracle sql database,390,LOW,4,2.98,22.44,-0.88
fundamentals of database systems,590,MEDIUM,51,0.23,2.17,13.66
mongodb dbms,20,LOW,14,0.0,0.0,-1.52
advantages of database management system,90,LOW,1,0.0,0.0,3.45
top database software,50,LOW,32,4.05,21.34,0.84
mysql database manager,320,LOW,8,4.86,30.85,10.57
mysql database software,480,LOW,22,4.99,27.54,1.14
dbms examples,1600,LOW,7,2.46,7.55,4.82
rdbms software,140,LOW,11,2.73,16.81,4.47
mysql dbms,210,LOW,8,6.56,33.99,15.19
document database software,90,LOW,23,7.79,23.0,67.6
database software list,110,LOW,19,2.41,10.21,1.8
dbms programs,30,LOW,7,0.0,0.0,25.0
distributed database system,260,LOW,2,1.867968,4.94,0.75
open sql database online,10,MEDIUM,57,0.0,0.0,0.0
azure dbms,10,LOW,7,0.0,0.0,0.0
dbms sas,110,LOW,1,0.0,0.0,-2.47
define dbms,1300,LOW,1,2.1,8.37,1.09
best dbms,50,LOW,30,6.36,15.33,2.81
dms data management system,50,LOW,28,4.13,17.833894,5.64
best database management software,1000,MEDIUM,42,3.59,18.1,11.24
database development software,480,LOW,24,4.78,24.43,160.77
mysql open database,50,LOW,6,2.98,15.0,0.19
linux database software,70,LOW,23,2.596522,8.97,4.39
dbms sql,210,LOW,8,5.98,25.0,-4.44
define view in dbms,140,LOW,0,0.0,0.0,-6.93
in memory sql database,140,LOW,9,2.36,5.045553,16.78
open source dbms,70,LOW,8,3.234795,9.29,-2.58
dbms tools,40,LOW,22,4.54,11.38,6.77
sql relational database,590,LOW,8,2.089999,23.47,1.53
relational dbms,140,LOW,4,1.92,7.17,0.69
popular database software,70,LOW,14,2.39,15.0,5.37
dbms systems,70,LOW,13,4.48,15.0,16.67
ibm database software,20,LOW,12,3.46,9.58,59.74
google dbms,2400,LOW,15,4.139999,12.99,-0.42
dbms architecture,170,LOW,4,2.65,5.04,4.04
data base systems,110,LOW,4,0.0,0.0,-2.31
relational database systems,320,LOW,8,1.77,8.319999,1.92
postgresql dbms,90500,LOW,5,3.11,19.13,1.15
dbms database,8100,LOW,5,3.34,14.11,0.2
sql database programs,320,MEDIUM,50,7.17,23.42,8.29
normalization in dbms,2400,LOW,1,0.76,6.17,-2.85
security in dbms,1300,LOW,19,4.0,19.28,14.52
dbms aws,10,LOW,1,0.0,0.0,0.0
database security software,2400,MEDIUM,34,13.022384,35.54,19.09
dbms database management system,10,LOW,22,0.0,0.0,4.55
database server software,30,MEDIUM,41,3.22,8.2,6.82
best sql database software,20,MEDIUM,35,5.92,27.37,15.15
popular database management systems,30,LOW,5,0.0,0.0,5.3
er diagram in dbms,260,LOW,10,1.188761,3.3,-5.5
postgre sql database,5400,LOW,19,3.78,25.21,6.98
types of dbms,590,LOW,3,2.23,6.09,0.32
data model in dbms,320,LOW,6,1.99,6.79,-2.49
snowflake dbms,20,LOW,14,2.12,5.61,11.36
nosql dbms,50,LOW,6,1.72,27.57,6.1
database systems examples,1600,LOW,7,2.46,7.55,4.82
microsoft dbms,50,LOW,1,0.0,0.0,14.72
database management system application,10,LOW,18,0.0,0.0,0.0
top 10 database software,10,MEDIUM,48,0.0,0.0,20.45
database software companies,50,MEDIUM,42,4.26,28.87,1.39
advanced database management system,50,LOW,15,3.28,12.25,17.84
dbms for mac,40,MEDIUM,38,2.89,11.28,9.09
explain database management system,320,LOW,1,2.56,4.33,0.7
dms database management system,10,LOW,0,0.0,0.0,0.0
centralized database system,70,LOW,2,0.0,0.0,2.89
enterprise database software,70,LOW,24,5.09,15.0,47.53
new sql databases,50,LOW,13,2.89,15.0,11.97
dbms applications,260,LOW,14,3.93,13.23,105.13
dbms software list,110,LOW,19,2.41,10.21,1.8
excel database software,20,MEDIUM,45,2.57,14.07,7.58
enterprise database systems,170,LOW,11,3.3,15.0,2.98
database system software,40,LOW,27,4.51,28.63,29.65
database for library management system,90,LOW,30,2.62,8.149999,5.83
database and database management system,880,LOW,18,4.05,22.94,132.12
oracle database products,30,LOW,20,0.0,0.0,12.88
explain dbms,320,LOW,1,2.56,4.33,0.7
sql queries in dbms,20,LOW,13,0.0,0.0,31.82
most popular dbms,320,LOW,2,0.938222,6.84,1.11
about dbms,10,LOW,26,3.88,12.498624,18.18
advantages of dbms,110,LOW,4,2.735293,6.51,1.86
best no sql database,320,LOW,14,2.71,9.95,5.65
database system applications,20,LOW,9,2.4,11.86,21.21
top sql databases,40,LOW,9,5.14,23.2,3.18
dbms and rdbms,50,LOW,4,1.74,7.17,3.9
inventory management system dbms project,10,UNSPECIFIED,0,0.0,0.0,0.0
database software packages,10,MEDIUM,52,3.76,10.22,0.0
dbms project,170,LOW,8,2.59,5.31,-0.04
sql and nosql databases,90,LOW,12,2.069999,9.9,9.7
amazon dbms,10,LOW,0,0.0,0.0,9.09
oracle database software downloads,1300,LOW,3,3.27,11.8,3.8
dbms basics,70,LOW,30,1.85,5.27,2.71
architecture of a database system,110,LOW,11,3.31,10.76,2.32
sql database queries,90,LOW,17,3.31,21.02,0.39
design sql database,110,LOW,14,3.38,9.15,9.27
web database in dbms,10,MEDIUM,43,0.0,0.0,0.0
dbms sql server,40,LOW,17,4.33,27.44,-0.2
dbms concepts,50,LOW,14,1.9,4.159999,2.08
popular dbms,110,LOW,1,0.0,0.0,3.57
ibm dbms,320,LOW,10,3.67,10.92,-2.03
microsoft sql server dbms,10,LOW,14,0.0,0.0,0.0
cassandra dbms,5400,LOW,10,3.34,22.57,1.21
olap clickhouse,10,LOW,14,0.0,0.0,9.09
sap dbms,10,LOW,6,0.0,0.0,0.0
mongodb in dbms,10,LOW,0,0.0,0.0,9.09
nosql database software,30,LOW,6,0.0,0.0,23.94
dbms software examples,20,LOW,17,3.99,12.37,8.33
er model in dbms,480,LOW,6,1.87,7.97,-2.41
computer database management system,30,LOW,21,3.26,12.775454,12.12
best database system,210,MEDIUM,36,3.35,22.56,4.97
distributed dbms,70,LOW,4,2.88,12.56,4.29
database and management system,9900,MEDIUM,46,8.42,23.05,32.6
dbms in computer,30,LOW,21,3.26,12.775454,12.12
most used database software,20,LOW,3,0.0,0.0,15.15
data integration in dbms,20,LOW,0,0.0,0.0,24.24
database system design,140,LOW,12,3.03,7.4,6.26
sql database systems,390,LOW,13,3.668598,15.04,3.13
dbms services,10,LOW,17,0.0,0.0,0.0
dbms queries,40,LOW,5,0.0,0.0,4.39
inventory management dbms project,10,UNSPECIFIED,0,0.0,0.0,-9.09
oracle database system,40,LOW,11,3.8,14.23,17.1
dbms diagram,30,LOW,2,0.0,0.0,3.79
top database management software,10,LOW,17,0.0,0.0,0.0
relational database in dbms,12100,LOW,5,1.35,8.8,-2.12
dbms w3schools,70,LOW,1,0.0,0.0,4.39
types of database management system with examples,10,LOW,8,1.4,5.61,16.67
